Count,GO Term
15,protein binding
10,membrane
10,plasma membrane
7,regulation of transcription by RNA polymerase II
5,"DNA-binding transcription factor activity, RNA polymerase II-specific"
5,RNA polymerase II cis-regulatory region sequence-specific DNA binding
5,cytoplasm
5,serine-type endopeptidase activity
4,nucleus
4,proteolysis
4,signal transduction
3,ATP binding
3,cytosol
3,synapse organization
3,transmembrane transport
2,G protein-coupled receptor signaling pathway
2,GTPase activator activity
2,actin cytoskeleton organization
2,actin filament binding
2,axon
2,axon guidance receptor activity
2,homophilic cell adhesion via plasma membrane adhesion molecules
2,intracellular signal transduction
2,mitochondrial matrix
2,mitochondrion
2,myosin complex
2,neuron projection
2,neuronal cell body
2,synapse
2,transmembrane transporter activity
