chrom,start,end,TE_name,gene_name,gene_ID,frequency_Colombia
AaegL5_1,74416172,74416930,rnd_6_family_331_Unknown_span_74416172_74416930,CYP4C51,AAEL008018;Name=CYP4C51,0.5833333333333334
AaegL5_1,105479695,105480343,rnd_1_family_463_LTR_Gypsy,GSTT4,AAEL004229;Name=GSTT4,1.0
AaegL5_1,105482955,105483600,rnd_6_family_30_LINE_Jockey_span_105482955_105483600,GSTT4,AAEL004229;Name=GSTT4,1.0
AaegL5_1,155931664,155932276,rnd_1_family_560_DNA_span_155931664_155932276,CYP315A1,AAEL011850;Name=CYP315A1,0.9166666666666666
AaegL5_2,1440705,1441544,rnd_1_family_284_DNA_CMC_EnSpm_span_1440705_1441544,CCEJHE4F,AAEL005182;Name=CCEJHE4F,0.8333333333333334
AaegL5_2,58055868,58056778,rnd_1_family_809_DNA_TcMar_Tc1,CYP4J16,AAEL014019;Name=CYP4J16,0.7083333333333334
AaegL5_2,214050342,214050987,rnd_1_family_12_DNA,CCEAE3B,AAEL002385;Name=CCEAE3B,0.7083333333333334
AaegL5_2,215091925,215092669,rnd_1_family_1104_Unknown_span_215091925_215092669,CYP49A1,AAEL008638;Name=CYP49A1,0.75
AaegL5_2,336343513,336344562,rnd_1_family_131_DNA_span_336343513_336344562,CYP325X4,AAEL005700;Name=CYP325X4,0.5833333333333334
AaegL5_2,336373906,336374709,rnd_1_family_411_Unknown,CYP325X4,AAEL005700;Name=CYP325X4,0.9583333333333334
AaegL5_3,62535965,62536638,rnd_3_family_1017_DNA_TcMar,CYP325Y3,AAEL018028;Name=CYP325Y3,1.0
AaegL5_3,112528846,112529528,rnd_1_family_351_DNA_hAT_hATm_span_112528846_112529528,CYP325V1,AAEL017136;Name=CYP325V1,1.0
AaegL5_3,114812269,114813055,rnd_5_family_834_DNA,CYP325R1,AAEL005775;Name=CYP325R1,0.6666666666666666
AaegL5_3,152791386,152792067,rnd_1_family_229_DNA_Sola_span_152791386_152792067,CYP4D38,AAEL007807;Name=CYP4D38,0.625
AaegL5_3,152796665,152797411,rnd_1_family_83_DNA,CYP4D38,AAEL007807;Name=CYP4D38,0.8333333333333334
AaegL5_3,301580927,301581580,rnd_3_family_12_Unknown_span_301580927_301581580,NVY,AAEL014203,0.7083333333333334
AaegL5_3,301661039,301661757,rnd_1_family_31_LTR_Gypsy_span_301661039_301661757,NVY,AAEL014203,1.0
AaegL5_3,301715085,301715724,rnd_1_family_116_Unknown,NVY,AAEL014203,0.875
AaegL5_3,301720953,301721703,rnd_1_family_56_DNA_CMC_Chapaev,NVY,AAEL014203,0.7916666666666666
AaegL5_3,301793259,301794044,rnd_5_family_834_DNA,NVY,AAEL014203,0.5833333333333334
AaegL5_3,301908063,301908746,rnd_1_family_799_Unknown_span_301908063_301908746,NVY,AAEL014203,0.7916666666666666
AaegL5_3,313067357,313068169,rnd_1_family_411_Unknown,CHL,AAEL021732,0.9166666666666666
AaegL5_3,313089029,313089694,rnd_1_family_1208_Unknown_span_313089029_313089694,CHL,AAEL021732,0.875
AaegL5_3,313096687,313097462,rnd_1_family_790_DNA_CMC_Transib_span_313096687_313097462,CHL,AAEL021732,1.0
AaegL5_3,313103700,313104343,rnd_1_family_47_SINE_tRNA_span_313103700_313104343,CHL,AAEL021732,0.8333333333333334
AaegL5_3,313135924,313136574,rnd_4_family_448_DNA_TcMar_Tc1,CHL,AAEL021732,0.875
AaegL5_3,316041113,316041796,rnd_1_family_1616_Unknown,VGSC,AAEL023266,1.0
AaegL5_3,316041113,316041796,rnd_1_family_1616_Unknown,,AAEL023266,1.0
AaegL5_3,316105167,316105813,rnd_1_family_421_Unknown_span_316105167_316105813,VGSC,AAEL023266,0.75
AaegL5_3,316105167,316105813,rnd_1_family_421_Unknown_span_316105167_316105813,,AAEL023266,0.75
AaegL5_3,316296210,316296873,rnd_1_family_498_LTR_Copia,VGSC,AAEL023266,0.5416666666666666
AaegL5_3,316296210,316296873,rnd_1_family_498_LTR_Copia,,AAEL023266,0.5416666666666666
AaegL5_3,316305596,316306452,rnd_1_family_520_Unknown_span_316305596_316306452,VGSC,AAEL023266,0.7916666666666666
AaegL5_3,316305596,316306452,rnd_1_family_520_Unknown_span_316305596_316306452,,AAEL023266,0.7916666666666666
AaegL5_3,316319019,316319670,rnd_1_family_463_LTR_Gypsy,VGSC,AAEL023266,1.0
AaegL5_3,316319019,316319670,rnd_1_family_463_LTR_Gypsy,,AAEL023266,1.0
AaegL5_3,316394855,316395551,rnd_1_family_448_Unknown_span_316394855_316395551,VGSC,AAEL023266,0.5833333333333334
AaegL5_3,316394855,316395551,rnd_1_family_448_Unknown_span_316394855_316395551,,AAEL023266,0.5833333333333334
